#{"t_start": 1773857191.5022678, "env_id": "None"}
r,l,t
217.71,252,14.324782
148.42,174,14.498789
384.78,562,14.972309
276.0,429,15.335612
29.56,48,15.382664
364.44,594,17.190374
19.74,29,17.233537
285.31,499,17.710678
29.44,60,17.774101
344.81,555,18.272015
49.56,50,18.319168
108.77,135,18.433796
287.03,327,18.714647
29.87,17,18.739498
88.74,136,18.868705
266.88,340,20.559278
257.08,319,20.824253
276.91,338,21.107917
276.14,415,21.46
227.36,288,21.696357
334.89,546,22.158242
266.57,371,23.709954
316.6,373,24.028396
375.11,528,24.460774
286.99,331,24.727422
296.2,411,25.061831
137.85,230,26.656637
315.98,435,27.004949
236.46,379,27.338525
127.93,221,27.520272
306.41,391,27.844511
187.71,249,28.049068
148.37,179,28.207087
344.43,593,30.134128
177.38,281,30.355297
88.82,128,30.468018
316.29,404,30.785069
147.85,231,30.98924
394.81,560,32.772193
227.53,271,33.003361
345.83,453,33.429323
393.23,718,34.057194
197.49,272,34.286338
235.56,469,36.338554
276.55,374,36.674724
36.8,325,36.955144
168.16,202,37.133284
187.73,247,37.334613
286.06,424,37.683791
147.99,217,37.873522
306.03,429,39.567098
423.58,686,40.15326
345.58,478,40.532612
335.45,490,42.274896
286.38,392,42.666764
364.25,613,43.222317
364.89,549,43.699125
187.49,271,43.949432
296.9,341,45.624068
334.37,598,46.147783
266.06,422,46.510971
296.2,411,46.843403
386.05,435,47.175688
147.48,268,48.818665
168.11,207,48.977619
344.47,589,49.454483
138.59,156,49.599391
19.54,49,49.645044
157.98,219,49.8042
296.52,379,50.119141
177.77,242,51.715396
266.48,380,52.095953
138.76,139,52.206593
295.95,436,52.596249
344.11,625,53.083793
266.96,332,53.348361
296.1,421,55.050906
138.87,128,55.178381
108.2,192,55.369197
58.98,109,55.466794
217.64,259,55.692953
335.66,469,56.066842
305.84,448,56.432273
415.95,448,58.201528
384.72,568,58.69308
355.83,454,59.04182
306.32,400,59.390833
197.71,250,59.580273
284.33,597,61.414529
138.65,150,61.541158
256.95,332,61.855416
325.41,493,62.308684
196.91,330,62.600722
297.09,322,64.286862
148.54,162,64.417186
206.87,335,64.722583
89.11,99,64.797588
9.77,25,64.829593
49.46,60,64.876867
78.43,166,65.012156
316.3,403,65.337018
138.81,134,65.448332
315.18,515,65.893679
305.29,503,67.678147
207.53,269,67.900681
306.25,407,68.264346
79.15,94,68.343283
138.61,154,68.469979
246.68,358,68.785797
413.56,687,70.659722
306.66,366,71.002639
276.44,385,71.33566
157.44,273,71.573979
315.49,484,71.953496
187.31,289,73.700929
315.25,508,74.12285
286.15,415,74.483562
246.09,417,74.822705
227.0,324,75.117286
306.73,359,76.807087
306.75,357,77.093492
266.57,371,77.394147
285.32,498,77.824806
305.96,436,78.177176
324.96,538,79.962409
286.48,382,80.297642
346.37,399,80.612906
315.23,510,81.04057
69.41,67,81.103729
157.28,289,81.329768
364.74,564,83.189321
353.91,646,83.696517
216.97,326,83.991385
325.37,497,84.414169
247.07,319,86.067153
275.96,433,86.416102
49.5,56,86.463378
305.49,483,86.842324
335.18,517,87.272005
374.81,558,89.138336
236.78,347,89.423767
276.5,379,89.757365
365.83,455,90.170849
404.66,576,90.639849
236.54,371,92.342015
326.31,403,92.703829
267.25,303,92.99064
385.69,471,93.371123
207.15,307,93.624883
315.49,484,95.445896
276.39,390,95.823243
69.18,90,95.902942
375.92,447,96.315826
305.2,512,96.79
255.6,467,98.435622
316.49,384,98.796612
138.47,168,98.96956
98.77,134,99.083174
216.46,377,99.399718
256.34,393,99.74731
316.51,382,100.066
108.81,131,100.176359
256.11,416,101.882187
246.8,346,102.215297
59.37,70,102.279138
216.14,409,102.653902
217.8,243,102.866235
294.77,554,103.357635
255.96,431,105.142502
395.07,534,105.601885
196.63,358,105.886776
9.73,29,105.902886
276.12,417,106.235638
207.32,290,106.460334
197.67,254,108.14599
326.04,430,108.508919
197.61,260,108.748609
236.64,361,109.061873
286.95,335,109.334711
266.14,414,109.700116
187.05,315,111.326115
98.92,119,111.437834
187.53,267,111.691428
336.28,407,112.043411
59.42,65,112.103801
326.41,393,112.437001
335.9,445,112.802696
108.27,185,114.372092
9.96,6,114.382109
216.9,333,114.684021
365.8,458,115.096732
295.91,440,115.470032
295.71,460,115.839448
385.19,521,117.71848
346.01,435,118.099481
247.8,246,118.321867
295.78,453,118.686856
98.62,149,118.801019
296.21,410,119.1145
364.93,545,120.949303
336.21,414,121.281045
168.17,201,121.455139
217.37,286,121.697823
256.62,365,121.995621
316.64,369,123.626511
384.77,563,124.165723
315.17,516,124.59341
256.94,333,124.879614
285.7,460,125.276676
284.71,559,127.1097
69.42,66,127.156783
345.68,468,127.520806
257.65,262,127.711344
226.29,395,128.046118
286.55,375,128.361528
266.22,406,130.118404
326.1,424,130.485394
313.59,674,131.005707
305.34,498,131.418552
217.46,277,132.969147
395.15,526,133.441023
355.45,492,133.841389
326.95,339,134.122932
206.96,326,134.379325
257.51,276,135.922171
385.03,537,136.398353
343.31,705,136.968857
335.35,500,137.394689
315.87,446,139.21415
137.81,234,139.40459
345.4,496,139.867106
324.87,547,140.346881
345.58,478,140.722489
186.8,340,142.339678
207.13,309,142.597513
217.29,294,142.855591
19.61,42,142.903374
296.94,337,143.172863
324.58,576,143.649467
246.25,401,145.416153
224.66,558,145.900544
59.21,86,145.977175
237.67,258,146.177618
237.18,307,146.432294
207.39,283,146.684493
217.95,228,146.859227
296.67,364,148.505642
325.89,445,148.933169
187.96,224,149.121824
227.4,284,149.375286
285.86,444,149.771167
405.65,477,151.505476
118.8,133,151.651458
254.79,548,152.142873
365.03,535,152.617928
306.56,376,152.950253
343.57,679,154.784633
237.09,316,155.037711
69.25,83,155.109563
354.08,629,155.624512
216.08,415,155.97248
287.08,322,156.225916
207.55,267,157.838341
276.2,409,158.188665
345.07,529,158.645851
335.7,465,159.08845
316.25,408,160.875715
314.61,572,161.39762
186.9,330,161.650448
166.94,324,161.920218
196.81,340,162.191955
196.55,366,162.505479
306.5,382,164.270779
88.69,141,164.386207
127.84,230,164.571525
276.57,372,164.890269
344.58,578,165.379817
345.48,488,167.2077
355.33,504,167.711466
394.42,599,168.22254
227.11,313,168.478319
237.46,279,168.701265
177.71,248,168.890402
325.72,462,170.66402
336.22,413,170.998481
206.98,324,171.282764
365.04,534,171.712364
256.44,383,173.309181
405.74,468,173.79716
246.61,365,174.099117
305.09,523,174.510953
305.74,458,174.890332
217.78,245,176.459427
366.08,430,176.898413
236.75,350,177.184555
375.15,524,177.645174
295.92,439,178.058202
345.52,484,179.812627
237.06,319,180.081623
178.01,218,180.255306
404.92,550,180.747113
366.12,426,181.126202
89.31,79,181.18954
276.02,427,182.81617
394.93,548,183.275297
216.62,361,183.560655
355.36,501,183.975023
